strain	accession	clade
MK288006.1	MK288006.1	G2b
MK392335.1	MK392335.1	G2b
MK532982.1	MK532982.1	G2c
MK532983.1	MK532983.1	G2a
MK532984.1	MK532984.1	G2a
MK532985.1	MK532985.1	G2a
MK532986.1	MK532986.1	G2a
MK532987.1	MK532987.1	G2a
MK532990.1	MK532990.1	G2c
MK532991.1	MK532991.1	G2c
MK532992.1	MK532992.1	G2c
MK532993.1	MK532993.1	G2c
MK532994.1	MK532994.1	G2c
MK532995.1	MK532995.1	G2c
MK532996.1	MK532996.1	G2c
MK532997.1	MK532997.1	G2c
MK532998.1	MK532998.1	G2c
MK532999.1	MK532999.1	G2c
MK533000.1	MK533000.1	G2c
MK533001.1	MK533001.1	G2c
MK533002.1	MK533002.1	G2b
MK533003.1	MK533003.1	G2c
MK533004.1	MK533004.1	G2b
MK533005.1	MK533005.1	G2c
MK533006.1	MK533006.1	G2c
MK533007.1	MK533007.1	G2c
MK533008.1	MK533008.1	G2c
MK533009.1	MK533009.1	G2c
MK533010.1	MK533010.1	G2c
MK539948.2	MK539948.2	G2a
MK584552.1	MK584552.1	G2b
MK592416.1	MK592416.1	G2c
MK598819.1	MK598819.1	G2c
MK598820.1	MK598820.1	G2c
MK598821.1	MK598821.1	G2c
MK606368.1	MK606368.1	G2b
MK628688.1	MK628688.1	G2c
MK644601.1	MK644601.1	G2c
MK644602.1	MK644602.1	G2c
MK644603.1	MK644603.1	G2c
MK644604.1	MK644604.1	G2b
MK644605.1	MK644605.1	G2c
MK656504.1	MK656504.1	G2a
MK656505.1	MK656505.1	G2c
MK656506.1	MK656506.1	G2c
MK656507.1	MK656507.1	G2c
MK656508.1	MK656508.1	G2a
MK656509.1	MK656509.1	G2a
MK656510.1	MK656510.1	G2a
MK656511.1	MK656511.1	G2a
MK656512.1	MK656512.1	G2a
MK656513.1	MK656513.1	G2a
MK685665.1	MK685665.1	G2c
MK690502.1	MK690502.1	G2c
MK702008.1	MK702008.1	G2c
MK726310.1	MK726310.1	G2c
MK796238.1	MK796238.1	G2a
MK820037.1	MK820037.1	G2c
MK820039.1	MK820039.1	G2c
MK820040.1	MK820040.1	G2c
MK820041.1	MK820041.1	G2c
MK820042.1	MK820042.1	S-INDEL
MK841494.1	MK841494.1	G2b
MK841495.1	MK841495.1	G2b
MK862249.1	MK862249.1	G2c
MN037494.1	MN037494.1	G2a
MN114121.1	MN114121.1	G2a
MN161584.1	MN161584.1	G2c
MN213154.1	MN213154.1	G2c
MN315264.1	MN315264.1	G1b
MN412557.1	MN412557.1	G2c
MN412558.1	MN412558.1	G2a
MN412559.1	MN412559.1	G2a
MN412560.1	MN412560.1	G2a
MN412561.1	MN412561.1	G2a
MN412562.1	MN412562.1	G2a
MN412563.1	MN412563.1	G2a
MN412564.1	MN412564.1	G2a
MN412565.1	MN412565.1	G2a
MN412566.1	MN412566.1	G2a
MN412567.1	MN412567.1	G2c
MN412568.1	MN412568.1	G2a
MN412569.1	MN412569.1	G2a
MN412570.1	MN412570.1	G2c
MN412571.1	MN412571.1	G2c
MN412572.1	MN412572.1	G2c
MN412573.1	MN412573.1	G2a
MN412574.1	MN412574.1	G2c
MN508818.1	MN508818.1	G2b
MN594506.1	MN594506.1	G2a
MN612069.1	MN612069.1	G2a
MN612070.1	MN612070.1	G2a
MN612071.1	MN612071.1	G2a
MN612075.1	MN612075.1	G2a
MN612076.1	MN612076.1	G2a
MN612077.1	MN612077.1	G2a
MN617858.1	MN617858.1	G2c
MN617859.1	MN617859.1	G2c
MN617860.1	MN617860.1	G2c
MN617861.1	MN617861.1	G2c
MN617862.1	MN617862.1	G2c
MN617863.1	MN617863.1	G2a
MN617865.1	MN617865.1	G2c
MN617866.1	MN617866.1	G2c
MN617867.1	MN617867.1	G2c
MN721360.1	MN721360.1	G2a
MN721361.1	MN721361.1	G2a
MN721362.1	MN721362.1	G2a
MN721363.1	MN721363.1	G2a
MN721365.1	MN721365.1	G2a
MN721366.1	MN721366.1	G2a
MN721367.1	MN721367.1	G2a
MN721368.1	MN721368.1	G2a
MN721369.1	MN721369.1	G2a
MN721372.1	MN721372.1	G2a
MN759311.1	MN759311.1	G2b
MN841671.1	MN841671.1	G2c
MN893406.1	MN893406.1	G2c
MN893407.1	MN893407.1	G2c
MN893409.1	MN893409.1	S-INDEL
MN893411.1	MN893411.1	G2c
MN893412.1	MN893412.1	G2c
MN893413.1	MN893413.1	G2c
MN893414.1	MN893414.1	S-INDEL
MN893415.1	MN893415.1	S-INDEL
MN893416.1	MN893416.1	G2c
MN893417.1	MN893417.1	G2a
MN893418.1	MN893418.1	G2c
MN893419.1	MN893419.1	G2c
MN893420.1	MN893420.1	G2c
MN893421.1	MN893421.1	G2c
MN893422.1	MN893422.1	G2c
MN893423.1	MN893423.1	G2c
MN893424.1	MN893424.1	G2a
MN893425.1	MN893425.1	G2c
MN893427.1	MN893427.1	G2a
MT031818.1	MT031818.1	G1b
MT031819.1	MT031819.1	G2c
MT031820.1	MT031820.1	G2c
MT090137.1	MT090137.1	G2c
MT090138.1	MT090138.1	G2a
MT090139.1	MT090139.1	G2a
MT090140.1	MT090140.1	G2c
MT090145.1	MT090145.1	G2a
MT090146.1	MT090146.1	G2c
MT166307.1	MT166307.1	G2c
MT263014.1	MT263014.1	G2c
MT294128.1	MT294128.1	G2c
MT294129.1	MT294129.1	G2c
MT294130.1	MT294130.1	G2a
MT294131.1	MT294131.1	G2c
MT294132.1	MT294132.1	G2c
MT294133.1	MT294133.1	G2c
MT294134.1	MT294134.1	G2c
MT294135.1	MT294135.1	G2c
MT303066.1	MT303066.1	G2c
MT547179.1	MT547179.1	G2a
MT547180.1	MT547180.1	G2a
MT625963.1	MT625963.1	G2c
MT646162.1	MT646162.1	G2a
MT659926.1	MT659926.1	G2a
MT683617.1	MT683617.1	G2b
MT683905.1	MT683905.1	G2c
MT683906.1	MT683906.1	G2c
MT683907.1	MT683907.1	G2c
MT683908.1	MT683908.1	G2c
MT787025.1	MT787025.1	G2c
MT843278.1	MT843278.1	G2c
MT843279.1	MT843279.1	G1b
MW143081.1	MW143081.1	G2a
MW143083.1	MW143083.1	G2c
MW143084.1	MW143084.1	G2c
MW143085.1	MW143085.1	G2c
MW143087.1	MW143087.1	G2a
MW143088.1	MW143088.1	G2a
MW143089.1	MW143089.1	G2a
MW143090.1	MW143090.1	G2a
MW143091.1	MW143091.1	G2c
MW143092.1	MW143092.1	G2c
MW143093.1	MW143093.1	G2a
MW143094.1	MW143094.1	G2c
MW145530.1	MW145530.1	G2b
MW145532.1	MW145532.1	G2c
MW145533.1	MW145533.1	G2b
MW145534.1	MW145534.1	G2c
MW145535.1	MW145535.1	G2c
MW386982.1	MW386982.1	G2b
MW398867.1	MW398867.1	G2c
MW452940.1	MW452940.1	G2c
MW478760.1	MW478760.1	G2c
MW478761.1	MW478761.1	G2c
MW478762.1	MW478762.1	G2c
MW478763.1	MW478763.1	G2c
MW478764.1	MW478764.1	G2c
MW478765.1	MW478765.1	G2c
MW478766.1	MW478766.1	G2c
MW478767.1	MW478767.1	G2c
MW478768.1	MW478768.1	G2a
MW478769.1	MW478769.1	G2c
MW478770.1	MW478770.1	G2a
MW478771.1	MW478771.1	G2a
MW478772.1	MW478772.1	G2a
MW561264.1	MW561264.1	G2a
MW762534.1	MW762534.1	G2a
MW826593.1	MW826593.1	G2c
MW826594.1	MW826594.1	G2c
MW826595.1	MW826595.1	G2a
MW826596.1	MW826596.1	G2c
MW826597.1	MW826597.1	G2a
MW826598.1	MW826598.1	G2c
MW826599.1	MW826599.1	G2c
MW915419.1	MW915419.1	G2c
MZ161001.1	MZ161001.1	G2c
MZ161003.1	MZ161003.1	G2c
MZ161004.1	MZ161004.1	G2c
MZ161006.1	MZ161006.1	G2b
MZ161007.1	MZ161007.1	G2c
MZ161008.1	MZ161008.1	G2c
MZ161009.1	MZ161009.1	G2c
MZ161010.1	MZ161010.1	G2c
MZ161011.1	MZ161011.1	G2c
MZ161013.1	MZ161013.1	G2c
MZ161014.1	MZ161014.1	G2b
MZ161015.1	MZ161015.1	G2c
MZ161016.1	MZ161016.1	G2c
MZ161017.1	MZ161017.1	G2c
MZ161018.1	MZ161018.1	G2b
MZ161019.1	MZ161019.1	G2c
MZ161020.1	MZ161020.1	G2c
MZ161021.1	MZ161021.1	G2c
MZ161022.1	MZ161022.1	G2b
MZ161023.1	MZ161023.1	G2b
MZ161024.1	MZ161024.1	G2b
MZ161025.1	MZ161025.1	G2b
MZ161026.1	MZ161026.1	G2c
MZ161027.1	MZ161027.1	G2c
MZ161028.1	MZ161028.1	G2c
MZ161029.1	MZ161029.1	G2b
MZ161030.1	MZ161030.1	G2b
MZ161031.1	MZ161031.1	G2c
MZ161032.1	MZ161032.1	G2b
MZ161033.1	MZ161033.1	G2b
MZ161034.1	MZ161034.1	G2b
MZ161035.1	MZ161035.1	G2b
MZ161036.1	MZ161036.1	G2b
MZ161037.1	MZ161037.1	G2b
MZ161038.1	MZ161038.1	G2c
MZ161039.1	MZ161039.1	G2c
MZ161040.1	MZ161040.1	G2c
MZ161041.1	MZ161041.1	G2b
MZ161042.1	MZ161042.1	G2c
MZ161043.1	MZ161043.1	G2c
MZ161044.1	MZ161044.1	G2c
MZ161045.1	MZ161045.1	G2c
MZ161046.1	MZ161046.1	G2b
MZ161048.1	MZ161048.1	G2c
MZ161050.1	MZ161050.1	G2c
MZ161051.1	MZ161051.1	G2c
MZ161052.1	MZ161052.1	G2c
MZ161053.1	MZ161053.1	G2c
MZ161054.1	MZ161054.1	G2c
MZ161055.1	MZ161055.1	G2c
MZ161056.1	MZ161056.1	G2c
MZ161057.1	MZ161057.1	G2c
MZ161058.1	MZ161058.1	G2c
MZ161059.1	MZ161059.1	G2b
MZ161060.1	MZ161060.1	G2a
MZ161061.1	MZ161061.1	G2c
MZ161062.1	MZ161062.1	G2c
MZ161063.1	MZ161063.1	G2c
MZ161064.1	MZ161064.1	G2c
MZ161065.1	MZ161065.1	G2c
MZ161066.1	MZ161066.1	G2c
MZ161068.1	MZ161068.1	G2c
MZ161071.1	MZ161071.1	G2c
MZ161072.1	MZ161072.1	G2c
MZ161075.1	MZ161075.1	G2c
MZ161077.1	MZ161077.1	G2c
MZ161078.1	MZ161078.1	G2b
MZ161079.1	MZ161079.1	G2c
MZ161082.1	MZ161082.1	G2c
MZ161084.1	MZ161084.1	G2c
MZ161085.1	MZ161085.1	G2c
MZ161087.1	MZ161087.1	G2c
MZ161088.1	MZ161088.1	G2c
MZ161089.1	MZ161089.1	G2c
MZ241108.1	MZ241108.1	G2c
MZ342899.1	MZ342899.1	G2c
MZ364307.1	MZ364307.1	G2b
MZ364308.1	MZ364308.1	G2b
MZ364309.1	MZ364309.1	G2b
MZ364311.1	MZ364311.1	G2c
MZ364312.1	MZ364312.1	G2c
MZ364313.1	MZ364313.1	G2c
MZ364314.1	MZ364314.1	G2b
MZ364315.1	MZ364315.1	G2c
MZ364316.1	MZ364316.1	G2c
MZ380292.1	MZ380292.1	G2a
MZ570133.1	MZ570133.1	G2c
MZ570135.1	MZ570135.1	G2c
MZ570136.1	MZ570136.1	G2c
MZ570137.1	MZ570137.1	G2c
MZ570138.1	MZ570138.1	G2c
MZ570139.1	MZ570139.1	G2c
MZ570140.1	MZ570140.1	G2c
MZ570141.1	MZ570141.1	G2c
MZ570144.1	MZ570144.1	G2c
MZ570145.1	MZ570145.1	G2c
MZ570146.1	MZ570146.1	G2c
MZ570147.1	MZ570147.1	G2c
MZ570148.1	MZ570148.1	G2c
MZ570149.1	MZ570149.1	G2c
MZ581326.1	MZ581326.1	G2b
MZ596343.1	MZ596343.1	G1b
MZ604716.1	MZ604716.1	G2b
MZ669834.1	MZ669834.1	G2c
MZ669835.1	MZ669835.1	G2c
MZ669836.1	MZ669836.1	G2c
MZ669837.1	MZ669837.1	G2c
MZ669838.1	MZ669838.1	G2c
MZ669839.1	MZ669839.1	G2c
MZ669840.1	MZ669840.1	G2c
MZ669841.1	MZ669841.1	G2c
MZ669842.1	MZ669842.1	G2c
MZ669843.1	MZ669843.1	G2c
MZ669844.1	MZ669844.1	G2c
MZ669845.1	MZ669845.1	G2c
MZ740469.1	MZ740469.1	G2c
MZ740470.1	MZ740470.1	G2c
MZ740471.1	MZ740471.1	G2c
MZ740472.1	MZ740472.1	G2c
MZ977202.1	MZ977202.1	G2c
OK642747.1	OK642747.1	G2c
OL347994.1	OL347994.1	G2c
OL348059.1	OL348059.1	G2c
OL361788.1	OL361788.1	G2c
OL446966.1	OL446966.1	G2c
OL446967.1	OL446967.1	G2c
OL762456.1	OL762456.1	G2c
OL762457.1	OL762457.1	G2c
OL762458.1	OL762458.1	G2c
OL762459.1	OL762459.1	G2c
OL762460.1	OL762460.1	G2c
OL762461.1	OL762461.1	G2c
OL841533.1	OL841533.1	G2c
OL841534.1	OL841534.1	G2c
OL841535.1	OL841535.1	G2c
OL841536.1	OL841536.1	G2c
OL841537.1	OL841537.1	G2c
OL841538.1	OL841538.1	G2c
OL855978.1	OL855978.1	G2a
OL855979.1	OL855979.1	G2b
OL855980.1	OL855980.1	G2c
OL855981.1	OL855981.1	G2c
OL855982.1	OL855982.1	G2c
OL855983.1	OL855983.1	G2c
OL855985.1	OL855985.1	G2c
OL855987.1	OL855987.1	G2c
OL870433.1	OL870433.1	G2c
OL870434.1	OL870434.1	G2c
OL870435.1	OL870435.1	G2c
OL907256.1	OL907256.1	G2a
OL907257.1	OL907257.1	G2c
OL907258.1	OL907258.1	G2c
OL907259.1	OL907259.1	G2a
OL944723.1	OL944723.1	G2c
OM201218.1	OM201218.1	G2b
OM201219.1	OM201219.1	G2c
OM201220.1	OM201220.1	G2c
OM201221.1	OM201221.1	G2c
OM393722.1	OM393722.1	G2c
OM505025.1	OM505025.1	G2c
OM776958.1	OM776958.1	G2a
OM814174.1	OM814174.1	G1b
OM863585.1	OM863585.1	G2c
OM914738.1	OM914738.1	G2c
OM948904.1	OM948904.1	G2c
OM948905.1	OM948905.1	G2c
OM948906.1	OM948906.1	G2c
OM948907.1	OM948907.1	G2c
OM948908.1	OM948908.1	G2c
OM948909.1	OM948909.1	G2c
OM948910.1	OM948910.1	G2a
OM948911.1	OM948911.1	G2c
OM948912.1	OM948912.1	G2c
OM948913.1	OM948913.1	G2c
OM948914.1	OM948914.1	G2c
OM948915.1	OM948915.1	G2c
OM948916.1	OM948916.1	G2c
OM948917.1	OM948917.1	G2c
OM948918.1	OM948918.1	G2c
OM948919.1	OM948919.1	G2c
OM948923.1	OM948923.1	G2c
OM948924.1	OM948924.1	G2c
OM948925.1	OM948925.1	G2a
OM948926.1	OM948926.1	G2c
OM948927.1	OM948927.1	G2c
OM974565.1	OM974565.1	G2c
OM974566.1	OM974566.1	G2c
OM974570.1	OM974570.1	G2c
OM974572.1	OM974572.1	G2c
OM974574.1	OM974574.1	G2c
OM974575.1	OM974575.1	G2c
OM974576.1	OM974576.1	G2c
OM974577.1	OM974577.1	G2c
OM974578.1	OM974578.1	G2c
OM974579.1	OM974579.1	G2c
OM974580.1	OM974580.1	G2c
ON058991.1	ON058991.1	G2c
ON058992.1	ON058992.1	G2c
ON068583.1	ON068583.1	G2c
ON075821.1	ON075821.1	G2a
ON168795.1	ON168795.1	G2a
ON248872.1	ON248872.1	G2b
ON248873.1	ON248873.1	G2c
ON248875.1	ON248875.1	G2c
ON248876.1	ON248876.1	G2c
ON248877.1	ON248877.1	G2c
ON248878.1	ON248878.1	G2c
ON248879.1	ON248879.1	G2c
ON248880.1	ON248880.1	S-INDEL
ON248882.1	ON248882.1	G2c
ON262797.1	ON262797.1	G2b
ON417000.1	ON417000.1	G2c
ON417001.1	ON417001.1	G2c
ON417002.1	ON417002.1	G2c
ON417003.1	ON417003.1	G2a
ON417004.1	ON417004.1	G2c
ON419534.1	ON419534.1	S-INDEL
ON419538.1	ON419538.1	S-INDEL
ON419539.1	ON419539.1	S-INDEL
ON571549.1	ON571549.1	G2b
ON649885.1	ON649885.1	G2b
ON745405.1	ON745405.1	G2c
ON960076.1	ON960076.1	G2c
ON960077.1	ON960077.1	G2c
ON964511.1	ON964511.1	G2c
ON968723.1	ON968723.1	G2c
ON988085.1	ON988085.1	G2c
ON988086.1	ON988086.1	G2c
ON988087.1	ON988087.1	G2c
ON988088.1	ON988088.1	G2c
ON988089.1	ON988089.1	G2c
ON988090.1	ON988090.1	G2c
ON988091.1	ON988091.1	G2c
ON988092.1	ON988092.1	G2c
ON988093.1	ON988093.1	G2c
ON988094.1	ON988094.1	G2c
ON988095.1	ON988095.1	G2c
ON988096.1	ON988096.1	G2c
OP019333.1	OP019333.1	G2b
OP019334.1	OP019334.1	S-INDEL
OP019335.1	OP019335.1	G2c
OP019336.1	OP019336.1	G2c
OP019338.1	OP019338.1	G2c
OP019339.1	OP019339.1	S-INDEL
OP019340.1	OP019340.1	G2c
OP019341.1	OP019341.1	G2c
OP019344.1	OP019344.1	G2a
OP019350.1	OP019350.1	G2c
OP019351.1	OP019351.1	G2c
OP019352.1	OP019352.1	G2c
OP019353.1	OP019353.1	S-INDEL
OP019354.1	OP019354.1	S-INDEL
OP019355.1	OP019355.1	G2a
OP171885.1	OP171885.1	S-INDEL
OP171886.1	OP171886.1	G2c
OP171888.1	OP171888.1	G2b
OP171889.1	OP171889.1	G2c
OP171890.1	OP171890.1	G2c
OP171891.1	OP171891.1	G2b
OP171892.1	OP171892.1	G2b
OP171893.1	OP171893.1	G2c
OP171894.1	OP171894.1	G2c
OP171895.1	OP171895.1	G2c
OP171897.1	OP171897.1	G2c
OP191700.1	OP191700.1	G2a
OP235511.1	OP235511.1	G2c
OP245917.1	OP245917.1	G2c
OP287015.1	OP287015.1	G2b
OP374016.1	OP374016.1	G2c
OP374017.1	OP374017.1	G2c
OP374021.1	OP374021.1	G2b
OP374023.1	OP374023.1	G2c
OP382083.1	OP382083.1	G2a
OP433730.1	OP433730.1	G2c
OP433731.1	OP433731.1	G2c
OP433732.1	OP433732.1	G2c
OP433733.1	OP433733.1	G2c
OP433734.1	OP433734.1	G2c
OP433735.1	OP433735.1	G2c
OP433737.1	OP433737.1	G2c
OP433738.1	OP433738.1	G2c
OP433739.1	OP433739.1	G2c
OP433740.1	OP433740.1	G2c
OP433741.1	OP433741.1	G2c
OP433743.1	OP433743.1	G2c
OP433744.1	OP433744.1	G2c
OP433745.1	OP433745.1	G2c
OP480878.1	OP480878.1	G2c
OP529823.1	OP529823.1	G2c
OP603897.1	OP603897.1	G2a
OP688373.1	OP688373.1	G1b
OP727263.1	OP727263.1	G2a
OP784565.1	OP784565.1	G2a
OP852657.1	OP852657.1	G2c
OP852658.1	OP852658.1	G2c
OP852659.1	OP852659.1	G2c
OP894120.1	OP894120.1	G2b
OP972835.1	OP972835.1	G2b
OQ122084.1	OQ122084.1	G2c
OQ122085.1	OQ122085.1	G2c
OQ122086.1	OQ122086.1	G2c
OQ122087.1	OQ122087.1	G2c
OQ122088.1	OQ122088.1	G2c
OQ122089.1	OQ122089.1	G2c
OQ122090.1	OQ122090.1	G2c
OQ122091.1	OQ122091.1	G2c
OQ122093.1	OQ122093.1	G2c
OQ122094.1	OQ122094.1	G2c
OQ122095.1	OQ122095.1	G2c
OQ122096.1	OQ122096.1	G2c
OQ122097.1	OQ122097.1	G2c
OQ122098.1	OQ122098.1	G2b
OQ122099.1	OQ122099.1	G2c
OQ122101.1	OQ122101.1	G2c
OQ122102.1	OQ122102.1	G2a
OQ122103.1	OQ122103.1	G2b
OQ122105.1	OQ122105.1	G2b
OQ122107.1	OQ122107.1	G2c
OQ122108.1	OQ122108.1	G2a
OQ122110.1	OQ122110.1	G2c
OQ122111.1	OQ122111.1	G2b
OQ122112.1	OQ122112.1	G2c
OQ122113.1	OQ122113.1	G2c
OQ122114.1	OQ122114.1	G2c
OQ122115.1	OQ122115.1	G2c
OQ122116.1	OQ122116.1	G2c
OQ129480.1	OQ129480.1	S-INDEL
OQ269588.1	OQ269588.1	G2c
OQ269589.1	OQ269589.1	S-INDEL
OQ269590.1	OQ269590.1	G2c
OQ269591.1	OQ269591.1	G2c
OQ269592.1	OQ269592.1	G2c
OQ288925.1	OQ288925.1	G2c
OQ349200.1	OQ349200.1	G2c
OQ349201.1	OQ349201.1	G2a
OQ349202.1	OQ349202.1	G2c
OQ349203.1	OQ349203.1	G2c
OQ349204.1	OQ349204.1	G2b
OQ349205.1	OQ349205.1	G2a
OQ349206.1	OQ349206.1	G2a
OQ349207.1	OQ349207.1	G2a
OQ349208.1	OQ349208.1	G2a
OQ349209.1	OQ349209.1	G2c
OQ349210.1	OQ349210.1	G2a
OQ349211.1	OQ349211.1	G2a
OQ349212.1	OQ349212.1	G2c
OQ349213.1	OQ349213.1	G2a
OQ349214.1	OQ349214.1	G2c
OQ349215.1	OQ349215.1	G2a
OQ349216.1	OQ349216.1	G2c
OQ349217.1	OQ349217.1	G2a
OQ349218.1	OQ349218.1	G2c
OQ349219.1	OQ349219.1	G2c
OQ349220.1	OQ349220.1	G2c
OQ349221.1	OQ349221.1	G2b
OQ349222.1	OQ349222.1	G2c
OQ349223.1	OQ349223.1	G2c
OQ349224.1	OQ349224.1	G2a
OQ349226.1	OQ349226.1	G2c
OQ349228.1	OQ349228.1	G2c
OQ412638.1	OQ412638.1	G2c
OQ412639.1	OQ412639.1	G2c
OQ437174.1	OQ437174.1	G2b
OQ504178.1	OQ504178.1	G2c
OQ504179.1	OQ504179.1	G2c
OQ504180.1	OQ504180.1	G2c
OQ504181.1	OQ504181.1	G2c
OQ504182.1	OQ504182.1	G2c
OQ504183.1	OQ504183.1	G2c
OQ504185.1	OQ504185.1	G2c
OQ589489.1	OQ589489.1	G2b
OQ657291.1	OQ657291.1	G2c
OQ657292.1	OQ657292.1	G2c
OQ657293.1	OQ657293.1	G2c
OQ657294.1	OQ657294.1	G2c
OQ657295.1	OQ657295.1	G2c
OQ657297.1	OQ657297.1	G2c
OQ703966.1	OQ703966.1	G2c
OQ718863.1	OQ718863.1	G2b
OQ718883.1	OQ718883.1	G2c
OQ718884.1	OQ718884.1	G2c
OQ718885.1	OQ718885.1	G2c
OQ718886.1	OQ718886.1	G2c
OQ718887.1	OQ718887.1	G2c
OQ718888.1	OQ718888.1	G2c
OQ718889.1	OQ718889.1	G2c
OQ718890.1	OQ718890.1	G2c
OQ718891.1	OQ718891.1	G2c
OQ718892.1	OQ718892.1	G2c
OQ718893.1	OQ718893.1	G2c
OQ718894.1	OQ718894.1	G2c
OQ718895.1	OQ718895.1	G2c
OQ718896.1	OQ718896.1	G2c
OQ718897.1	OQ718897.1	G2c
OQ718898.1	OQ718898.1	G2c
OQ718899.1	OQ718899.1	G2c
OQ718900.1	OQ718900.1	G2c
OQ718901.1	OQ718901.1	G2c
OQ718902.1	OQ718902.1	G2c
OQ718903.1	OQ718903.1	G2c
OQ718904.1	OQ718904.1	G2c
OQ718905.1	OQ718905.1	G2c
OQ718906.1	OQ718906.1	G2c
OQ718907.1	OQ718907.1	G2c
OQ718908.1	OQ718908.1	G2c
OQ718909.1	OQ718909.1	G2c
OQ718910.1	OQ718910.1	G2c
OQ718911.1	OQ718911.1	G2c
OQ723792.1	OQ723792.1	G2a
OQ731917.1	OQ731917.1	G1b
OQ731918.1	OQ731918.1	G2c
OQ858592.1	OQ858592.1	G2a
OQ915150.1	OQ915150.1	G2c
OQ979198.1	OQ979198.1	G2c
OQ979199.1	OQ979199.1	G2c
OQ979200.1	OQ979200.1	G2c
OQ979201.1	OQ979201.1	G2a
OR001816.1	OR001816.1	G2c
OR001817.1	OR001817.1	G2b
OR001818.1	OR001818.1	G2c
OR001819.1	OR001819.1	G2c
OR001820.1	OR001820.1	G2c
OR001821.1	OR001821.1	G2c
OR001822.1	OR001822.1	G2c
OR001823.1	OR001823.1	G2c
OR001824.1	OR001824.1	S-INDEL
OR061129.1	OR061129.1	G2c
OR085228.1	OR085228.1	G2c
OR085229.1	OR085229.1	G2c
OR085230.1	OR085230.1	G2c
OR085231.1	OR085231.1	G2c
OR085232.1	OR085232.1	G2c
OR085233.1	OR085233.1	G2c
OR085234.1	OR085234.1	G2c
OR085235.1	OR085235.1	S-INDEL
OR085236.1	OR085236.1	S-INDEL
OR085237.1	OR085237.1	S-INDEL
OR085239.1	OR085239.1	S-INDEL
OR085240.1	OR085240.1	S-INDEL
OR085241.1	OR085241.1	S-INDEL
OR085244.1	OR085244.1	G2a
OR085245.1	OR085245.1	G2c
OR085246.1	OR085246.1	G2c
OR085247.1	OR085247.1	G2c
OR085248.1	OR085248.1	G2c
OR085249.1	OR085249.1	G2c
OR085250.1	OR085250.1	G2c
OR085251.1	OR085251.1	G2c
OR085253.1	OR085253.1	G2c
OR085254.1	OR085254.1	G2c
OR085255.1	OR085255.1	G2c
OR085257.1	OR085257.1	G2c
OR085258.1	OR085258.1	G2c
OR085259.1	OR085259.1	G2c
OR085260.1	OR085260.1	G2c
OR085261.1	OR085261.1	G2c
OR085267.1	OR085267.1	G2c
OR085268.1	OR085268.1	G2c
OR085269.1	OR085269.1	G2c
OR085270.1	OR085270.1	G2c
OR085271.1	OR085271.1	G2c
OR085272.1	OR085272.1	G2c
OR085273.1	OR085273.1	G2c
OR085274.1	OR085274.1	G2c
OR085275.1	OR085275.1	G2c
OR085277.1	OR085277.1	G2c
OR085278.1	OR085278.1	G2c
OR085279.1	OR085279.1	G2c
OR085281.1	OR085281.1	G2a
OR085282.1	OR085282.1	G2a
OR085284.1	OR085284.1	G2a
OR085285.1	OR085285.1	G2a
OR085286.1	OR085286.1	G2c
OR085287.1	OR085287.1	G2c
OR085288.1	OR085288.1	G2c
OR085289.1	OR085289.1	G2c
OR085290.1	OR085290.1	G2c
OR085291.1	OR085291.1	G2c
OR085292.1	OR085292.1	G2c
OR085293.1	OR085293.1	G2c
OR085294.1	OR085294.1	G2c
OR085296.1	OR085296.1	G2c
OR085297.1	OR085297.1	G2c
OR085298.1	OR085298.1	G2b
OR085299.1	OR085299.1	G2b
OR085300.1	OR085300.1	G2b
OR085309.1	OR085309.1	G2b
OR085310.1	OR085310.1	G2b
OR085311.1	OR085311.1	G2b
OR085312.1	OR085312.1	G2c
OR089086.1	OR089086.1	G2c
OR090885.1	OR090885.1	G2a
OR090886.1	OR090886.1	G2a
OR090887.1	OR090887.1	G2a
OR090888.1	OR090888.1	G2a
OR195026.1	OR195026.1	G2c
OR195027.1	OR195027.1	G2c
OR195028.1	OR195028.1	G2c
OR195029.1	OR195029.1	G2a
OR195030.1	OR195030.1	G2c
OR195031.1	OR195031.1	G2c
OR195032.1	OR195032.1	G2c
OR195033.1	OR195033.1	G2c
OR195035.1	OR195035.1	S-INDEL
OR195038.1	OR195038.1	G2c
OR234022.1	OR234022.1	G2c
OR240110.1	OR240110.1	G2c
OR365272.1	OR365272.1	G2a
OR365273.1	OR365273.1	G2a
OR365274.1	OR365274.1	G2a
OR365275.1	OR365275.1	G2a
OR365276.1	OR365276.1	G2a
OR365277.1	OR365277.1	G2a
OR365278.1	OR365278.1	G2a
OR365279.1	OR365279.1	G2a
OR418363.1	OR418363.1	G2c
OR418364.1	OR418364.1	G2c
OR472492.1	OR472492.1	G2c
OR501721.1	OR501721.1	G2c
OR501723.1	OR501723.1	G2c
OR526953.1	OR526953.1	G2c
OR567503.1	OR567503.1	G2c
OR567504.1	OR567504.1	G2c
OR567505.1	OR567505.1	G2c
OR567506.1	OR567506.1	G2c
OR567507.1	OR567507.1	G2c
OR567508.1	OR567508.1	G2c
OR567509.1	OR567509.1	G2c
OR576821.1	OR576821.1	G2b
OR576822.1	OR576822.1	G2b
OR576823.1	OR576823.1	G2c
OR576824.1	OR576824.1	G2c
OR576825.1	OR576825.1	G2c
OR576826.1	OR576826.1	G2c
